sourcebus,0,500
150,100,500
150r,200,500
40,1000,1000
401,1000,1100
101,1700,800
1011,1700,900
30,600,1400
301,600,1500
93,1000,200
931,1000,100
77,1600,300
771,1600,200
149,300,500
1,400,500
2,400,600
3,400,400
7,500,500
4,400,300
5,500,400
6,500,300
8,600,500
12,600,400
9,600,600
13,700,500
9r,600,700
14,500,700
34,700,400
18,700,800
11,400,700
10,500,600
15,700,300
16,700,200
17,800,300
19,600,800
20,500,800
21,700,900
22,600,900
23,700,1000
24,600,1000
25,700,1100
25r,600,1100
26,500,1100
28,700,1200
27,400,1100
31,500,1200
33,400,1200
29,700,1400
250,500,1400
32,500,1300
35,1000,800
42,1100,1000
44,1200,1000
151,1100,800
52,900,500
53,1000,500
54,1100,500
55,1100,400
57,1100,600
56,1200,400
58,1000,600
60,1200,600
59,900,600
61,1200,500
62,1200,700
63,1100,700
64,1000,700
65,900,700
66,800,700
67,1500,600
68,1600,600
97,1500,700
69,1700,600
70,1800,600
71,1900,600
72,1500,400
73,1600,400
76,1500,300
74,1700,400
75,1800,400
86,1500,200
78,1700,300
79,1800,300
80,1800,200
81,1800,100
82,1800,0
84,1900,100
83,1900,0
85,1900,200
87,1400,200
88,1400,300
89,1200,200
90,1200,300
91,1100,200
92,1100,100
94,1000,300
95,900,200
96,900,300
98,1600,700
99,1700,700
100,1800,700
450,1900,700
197,1500,800
105,1800,800
108,1900,800
300,1300,800
135,900,800
152,800,500
160r,1400,600
160,1300,600
61s,1300,500
610,1400,500
x1,420,520
x2,420,620
x4,420,320
x5,520,420
x6,520,320
x7,520,520
x9,620,620
x10,520,620
x11,420,720
x12,620,420
x16,720,220
x17,820,320
x19,620,820
x20,520,820
x22,620,920
x24,620,1020
x28,720,1220
x29,720,1420
x30,620,1420
x31,520,1220
x32,520,1320
x33,420,1220
x34,720,420
x52,920,520
x53,1020,520
x55,1120,420
x56,1220,420
x58,1020,620
x59,920,620
x60,1220,620
x62,1220,720
x63,1120,720
x64,1020,720
x65,920,720
x66,820,720
x68,1620,620
x69,1720,620
x70,1820,620
x71,1920,620
x73,1620,420
x74,1720,420
x75,1820,420
x76,1520,320
x77,1620,320
x79,1820,320
x80,1820,220
x82,1820,20
x83,1920,20
x84,1920,120
x85,1920,220
x86,1520,220
x87,1420,220
x88,1420,320
x90,1220,320
x92,1120,120
x94,1020,320
x95,920,220
x96,920,320
x98,1620,720
x99,1720,720
x100,1820,720
